"","iteration","avg..fps","avg..polys","avg..models","Env","BFC","FVC","ZC","activeAlgorithms"
"331",27,17.004362,96000000,15625,"DYNAMIC",1,0,0,1
"332",28,17.052219,96000000,15625,"DYNAMIC",1,0,0,1
"333",29,17.06068,96000000,15625,"DYNAMIC",1,0,0,1
"334",30,17.052153,96000000,15625,"DYNAMIC",1,0,0,1
"335",31,17.066179,96000000,15625,"DYNAMIC",1,0,0,1
"336",32,17.078342,96000000,15625,"DYNAMIC",1,0,0,1
"337",33,17.034472,96000000,15625,"DYNAMIC",1,0,0,1
"338",34,16.502388,96000000,15625,"DYNAMIC",1,0,0,1
"339",35,16.757719,96000000,15625,"DYNAMIC",1,0,0,1
"340",36,17.031488,96000000,15625,"DYNAMIC",1,0,0,1
"341",37,17.047087,96000000,15625,"DYNAMIC",1,0,0,1
"342",38,16.606192,96000000,15625,"DYNAMIC",1,0,0,1
"343",1,14.368759,180398484,14680,"DENSE",0,0,1,1
"344",2,14.471885,180273152,14670,"DENSE",0,0,1,1
"345",3,14.555421,183767320,14955,"DENSE",0,0,1,1
"346",4,14.691907,185847420,15124,"DENSE",0,0,1,1
"347",5,14.379313,182872382,14882,"DENSE",0,0,1,1
"348",6,13.910971,185120874,15065,"DENSE",0,0,1,1
"349",7,13.942653,184592316,15022,"DENSE",0,0,1,1
"350",8,13.82668,184184948,14989,"DENSE",0,0,1,1
"351",9,13.835321,183658328,14946,"DENSE",0,0,1,1
"352",10,13.936373,179782350,14630,"DENSE",0,0,1,1
"353",11,13.922694,183728596,14951,"DENSE",0,0,1,1
"354",12,13.885964,184500574,15014,"DENSE",0,0,1,1
"355",13,13.934337,187056728,15222,"DENSE",0,0,1,1
"356",14,14.442235,188471540,15337,"DENSE",0,0,1,1
"357",15,14.248104,184702012,15031,"DENSE",0,0,1,1
"358",16,13.891207,178396714,14517,"DENSE",0,0,1,1
"359",17,14.130181,182876676,14882,"DENSE",0,0,1,1
"360",18,14.087221,183655640,14945,"DENSE",0,0,1,1
"361",19,14.082038,184486954,15013,"DENSE",0,0,1,1
"362",20,14.011279,179967438,14645,"DENSE",0,0,1,1
"363",21,14.063074,183974088,14971,"DENSE",0,0,1,1
"364",22,14.006276,182713112,14869,"DENSE",0,0,1,1
"365",23,14.048137,175865336,14311,"DENSE",0,0,1,1
"366",24,14.027597,179437394,14602,"DENSE",0,0,1,1
"367",25,14.181555,176819176,14389,"DENSE",0,0,1,1
"368",26,14.067642,176188170,14338,"DENSE",0,0,1,1
"369",27,14.142094,183232970,14911,"DENSE",0,0,1,1
"370",28,13.866662,183454866,14929,"DENSE",0,0,1,1
"371",29,13.944594,182484196,14850,"DENSE",0,0,1,1
"372",30,13.9743,185022734,15057,"DENSE",0,0,1,1
"373",31,14.055261,180965376,14727,"DENSE",0,0,1,1
"374",32,13.997927,180584100,14695,"DENSE",0,0,1,1
"375",33,14.073265,183925686,14967,"DENSE",0,0,1,1
"376",34,14.069905,181180098,14744,"DENSE",0,0,1,1
"377",35,14.225707,180446548,14684,"DENSE",0,0,1,1
"378",36,14.131747,182921464,14886,"DENSE",0,0,1,1
"379",37,14.158122,177246532,14424,"DENSE",0,0,1,1
"380",38,13.984944,181062864,14734,"DENSE",0,0,1,1
"381",1,16.754536,78833008,6415,"SPARSE",0,0,1,1
"382",2,16.780651,62419688,5079,"SPARSE",0,0,1,1
"383",3,16.741322,72542038,5903,"SPARSE",0,0,1,1
"384",4,16.795055,81530686,6634,"SPARSE",0,0,1,1
"385",5,16.748234,60924582,4958,"SPARSE",0,0,1,1
"386",6,16.813999,76987996,6265,"SPARSE",0,0,1,1
"387",7,16.839186,81368862,6621,"SPARSE",0,0,1,1
"388",8,16.771561,81421744,6626,"SPARSE",0,0,1,1
"389",9,16.838598,81774230,6654,"SPARSE",0,0,1,1
"390",10,16.8428,72593730,5907,"SPARSE",0,0,1,1
"391",11,16.773054,82932196,6749,"SPARSE",0,0,1,1
"392",12,16.772346,83100454,6762,"SPARSE",0,0,1,1
"393",13,16.800135,71197058,5794,"SPARSE",0,0,1,1
"394",14,16.86212,85816886,6983,"SPARSE",0,0,1,1
"395",15,16.814289,67067420,5457,"SPARSE",0,0,1,1
"396",16,16.866428,81098342,6599,"SPARSE",0,0,1,1
"397",17,16.829708,60735054,4942,"SPARSE",0,0,1,1
"398",18,16.8701,82466936,6711,"SPARSE",0,0,1,1
"399",19,16.809616,80788858,6574,"SPARSE",0,0,1,1
"400",20,16.883102,83098104,6762,"SPARSE",0,0,1,1
"401",21,16.891703,58096362,4727,"SPARSE",0,0,1,1
"402",22,16.887783,70565308,5742,"SPARSE",0,0,1,1
"403",23,16.911978,54758314,4456,"SPARSE",0,0,1,1
"404",24,16.870754,79659344,6482,"SPARSE",0,0,1,1
"405",25,16.817028,67656082,5505,"SPARSE",0,0,1,1
"406",26,16.900188,68603228,5582,"SPARSE",0,0,1,1
"407",27,16.821949,69113130,5624,"SPARSE",0,0,1,1
"408",28,16.877716,84981832,6915,"SPARSE",0,0,1,1
"409",29,16.85074,62099648,5053,"SPARSE",0,0,1,1
"410",30,16.932819,82798800,6738,"SPARSE",0,0,1,1
"411",31,16.87982,72034858,5862,"SPARSE",0,0,1,1
"412",32,16.911634,70898096,5769,"SPARSE",0,0,1,1
"413",33,16.91568,82876776,6744,"SPARSE",0,0,1,1
"414",34,16.945444,66262464,5392,"SPARSE",0,0,1,1
"415",35,16.927498,82855574,6742,"SPARSE",0,0,1,1
"416",36,16.912279,68037360,5536,"SPARSE",0,0,1,1
"417",37,16.895479,84983904,6916,"SPARSE",0,0,1,1
"418",38,16.925644,77126544,6276,"SPARSE",0,0,1,1
"419",1,15.939187,177810929,14470,"DYNAMIC",0,0,1,1
"420",2,15.836684,171087308,13923,"DYNAMIC",0,0,1,1
"421",3,16.026274,179683412,14622,"DYNAMIC",0,0,1,1
"422",4,16.111246,168094176,13679,"DYNAMIC",0,0,1,1
"423",5,15.995255,146067709,11887,"DYNAMIC",0,0,1,1
"424",6,15.889326,172312832,14022,"DYNAMIC",0,0,1,1
"425",7,15.851896,181955993,14807,"DYNAMIC",0,0,1,1
"426",8,16.071171,175461211,14279,"DYNAMIC",0,0,1,1
"427",9,16.019047,177860726,14474,"DYNAMIC",0,0,1,1
"428",10,15.865499,175790592,14305,"DYNAMIC",0,0,1,1
"429",11,15.978483,175166306,14255,"DYNAMIC",0,0,1,1
